id_empresa;codigo_provincia_2015;provincia_2015;codigo_provincia_2014;provincia_2014;codigo_provincia_2013;provincia_2013;codigo_provincia_2012;provincia_2012;codigo_canton_2015;canton_2015;codigo_canton_2014;canton_2014;codigo_canton_2013;canton_2013;codigo_canton_2012;canton_2012;empleados2015;empleados2014;empleados2013;empleados2012;emp_hombres_2015;emp_hombres_2014;emp_hombres_2013;emp_hombres_2012;emp_mujeres_2015;emp_mujeres_2014;emp_mujeres_2013;emp_mujeres_2012;ventas_totales2015;ventas_totales2014;ventas_totales2013;ventas_totales2012;id_nuevo
13705082094;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;215;235;260;292;176;194;213;243;39;41;47;49;6327064;6161585;6145845;5774904;13705082094
13705083091;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;49;55;55;57;39;46;45;46;10;9;10;11;3046146;2925743;2931111;2969430;13705083091
13705084097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;898;887;881;940;456;462;450;481;442;425;431;459;76208764;76000900;64143832;64486689;13705084097
13705085093;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;39;40;40;37;17;18;17;17;22;22;23;20;753741;775013;869429;943651;13705085093
13705086090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;85;91;90;87;77;83;81;77;8;8;9;10;7257960;6976404;6638801;5512513;13705086090
13705087096;17;Pichincha      ;17;Pichincha      ;17;Pichincha      ;17;Pichincha      ;1701;Quito         ;1701;Quito         ;1701;Quito         ;1701;Quito         ;116;118;130;125;46;48;53;52;70;70;77;73;63597693;75781064;72291637;71768057;13705087096
13705088092;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;462;452;434;390;390;387;376;335;72;65;58;55;62022498;66903872;63766039;57849245;13705088092
13705090097;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;1308;1288;1255;1370;988;990;983;1079;320;298;272;291;80101495;84348911;76806743;74645224;13705090097
13705091093;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;868;854;844;842;783;781;770;770;85;73;74;72;141029063;203620007;210021230;204840990;13705091093
13705092090;9;Guayas         ;9;Guayas         ;9;Guayas         ;9;Guayas         ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;901;Guayaquil     ;20;21;21;21;15;15;15;15;5;6;6;6;1791120;1731523;1633911;1580341;13705092090
